Addon,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10
ember-simple-auth-components,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-simple-auth-firebase,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-simple-auth-firebase-user-session,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-simple-auth-jwt,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-simple-auth-keycloak,1.25,2.25,2.57142,3.71428,3.71428,3.25,3.25,3.33333,3.29192,3.21212
ember-simple-auth-loopback,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-simple-auth-loopback-3,7.5,7.5,8.57142,8.57142,8.57142,7.5,6.875,6.91358,6.8944,6.96969
ember-simple-auth-parse,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-simple-auth-registration,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-simple-auth-token,8.75,9.75,9.71428,9.71428,9.71428,9.75,9.75,9.75308,9.75155,9.75757
ember-simple-charts,6.25,6.25,7.14285,7.14285,7.14285,6.25,6.25,6.29629,6.27329,6.12121
ember-simple-context-menu,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-simple-crud,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-simple-dom-tools,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.21212
ember-simple-form,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
ember-simple-google-maps,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-simple-infinite-scroller,6.25,6.25,7.14285,7.14285,5.71428,5.0,5.0,5.06172,5.03105,5.15151
ember-simple-pagination,7.5,7.5,7.85714,7.85714,7.85714,6.875,6.875,6.79012,6.83229,6.90909
ember-simple-qp,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-simple-qrcode,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-simple-redux,5.0,6.0,6.85714,8.0,6.57142,5.75,5.75,5.80246,5.77639,5.63636
ember-simple-select,5.0,5.0,5.71428,5.71428,5.71428,5.0,4.375,4.44444,4.40993,4.30303
ember-simple-table,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.7037,3.7267,3.63636
ember-simple-tree,6.25,6.25,7.14285,7.14285,7.14285,6.25,5.625,5.67901,5.65217,5.51515
ember-simple-typeahead,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-simple-uuid,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-simplebar,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
ember-simplemde,5.0,5.0,5.71428,6.85714,6.85714,7.25,6.625,6.66666,6.64596,6.72727
ember-simplified-carousel,1.25,2.25,2.57142,3.71428,3.71428,3.25,3.25,3.20987,3.22981,3.39393
ember-simulant-test-helpers,1.25,2.25,2.57142,3.71428,3.71428,3.25,3.25,3.33333,3.29192,3.21212
ember-single-select,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-singularity,6.25,6.875,7.14285,7.14285,7.14285,7.5,6.875,6.91358,6.8944,6.96969
ember-singularity-mixins,6.25,6.875,7.14285,7.85714,6.42857,6.875,6.875,6.91358,6.8944,6.96969
ember-sinon,8.75,8.75,9.28571,9.28571,9.28571,9.375,9.375,9.38271,9.37888,9.39393
ember-sinon-chai,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.24223,1.24223,1.21212
ember-sinon-qunit,8.75,8.75,9.28571,9.28571,9.28571,9.375,9.375,9.38271,9.37888,9.39393
ember-sinon-sandbox,7.5,7.5,8.57142,8.57142,8.57142,7.5,7.5,7.53086,7.51552,7.57575
ember-site-tour,7.5,7.5,8.57142,8.57142,7.14285,6.25,6.25,6.29629,6.27329,6.36363
ember-skeleton,2.5,2.5,2.85714,2.85714,1.42857,2.5,2.5,2.59259,2.54658,2.48484
ember-sky-labels,2.5,2.5,2.85714,2.85714,2.85714,3.75,3.75,3.82716,3.78881,3.69696
ember-slack-search-input,5.0,6.0,6.85714,8.0,8.0,7.0,6.375,6.41975,6.39751,6.48484
ember-slide-push-menu,5.0,5.625,6.42857,7.14285,5.71428,5.0,5.0,5.06172,5.03105,5.15151
ember-slide-show,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-slider,2.5,2.5,2.85714,2.85714,2.85714,2.5,1.875,1.9753,1.92546,1.87878
ember-slides,3.75,4.375,5.0,5.71428,5.71428,5.0,5.0,5.06172,5.03105,4.90909
ember-sliding-sticky,2.5,2.5,2.85714,3.57142,2.14285,3.125,3.125,3.20987,3.1677,3.33333
ember-sliding-tab-bar,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-sloth,1.25,2.25,2.57142,3.71428,3.71428,3.25,3.25,3.33333,3.29192,3.21212
ember-slow-motion,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-small-multi-select,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.45454
ember-smart-banner,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-smart-format,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-smart-go-back,3.75,3.75,4.28571,4.28571,2.85714,3.75,3.75,3.82716,3.78881,3.93939
ember-smart-input,5.0,5.625,6.42857,7.14285,5.71428,5.0,5.0,5.06172,5.03105,5.15151
ember-smenu,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-smooth-scroll,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.21212
ember-smoother-signature,2.5,3.125,3.57142,4.28571,4.28571,3.75,3.125,3.20987,3.1677,3.0909
ember-snap-svg,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-social,5.0,5.0,5.71428,5.71428,5.71428,6.25,6.25,6.29629,6.27329,6.12121
ember-social-share,5.0,5.625,6.42857,7.14285,7.14285,6.25,6.25,6.29629,6.27329,6.12121
ember-socket-guru,6.25,6.25,6.42857,6.42857,6.42857,5.625,5.0,5.06172,5.03105,5.15151
ember-sockjs,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-socrata,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-solr,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-sort-filter-table,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-sortable,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
ember-sortable-collection-view,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-spaniel,7.5,7.5,8.57142,8.57142,8.57142,8.75,8.75,8.76543,8.75776,8.54545
ember-sparkles,5.0,5.0,5.71428,5.71428,5.71428,6.25,5.625,5.67901,5.65217,5.51515
ember-sparkline,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-sparks,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-speak,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-spectrum-color-picker,3.75,4.375,4.28571,5.0,5.0,4.375,4.375,4.44444,4.40993,4.30303
ember-speech-to-text,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-spin-button,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-spin-button2,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-spin-kit,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-spin-spinner,2.5,3.5,4.0,5.14285,5.14285,4.5,3.875,3.95061,3.91304,3.81818
ember-spinner-button,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-split-view,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-spotify,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-spread,5.0,6.0,6.85714,8.0,8.0,7.0,7.0,7.03703,7.01863,7.0909
ember-spreadsheet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
ember-spreadsheet-export,6.25,6.25,7.14285,7.14285,7.14285,6.25,6.25,6.29629,6.27329,6.12121
ember-sprite,2.5,3.5,4.0,5.14285,5.14285,5.75,5.125,5.18518,5.15527,5.0303
ember-sqlite-adapter,3.75,4.75,5.42857,6.57142,5.14285,4.5,4.5,4.44444,4.47204,4.36363
ember-stable-array,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-stagger-swagger,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-star-rateyo,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-star-rating,5.0,6.0,6.85714,8.0,8.0,7.0,6.375,6.41975,6.39751,6.48484
ember-state-composer,3.75,3.75,4.28571,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-state-manager,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-state-services,6.25,6.875,7.14285,7.85714,7.85714,8.125,8.125,8.14814,8.13664,8.18181
ember-statecharts,6.25,7.25,8.28571,8.28571,8.28571,7.25,6.625,6.66666,6.64596,6.48484
ember-stateful,3.75,4.375,5.0,5.71428,4.28571,5.0,5.0,5.06172,5.03105,4.90909
ember-states,5.0,5.0,5.71428,5.71428,5.71428,5.0,5.0,5.06172,5.03105,5.15151
ember-steps,7.5,7.5,8.57142,8.57142,8.57142,7.5,7.5,7.53086,7.51552,7.57575
ember-stickler,5.0,5.0,5.71428,5.71428,5.71428,6.25,6.25,6.29629,6.27329,6.12121
ember-sticky-element,5.0,5.625,6.42857,7.14285,7.14285,6.25,5.625,5.67901,5.65217,5.51515
ember-storage,6.25,6.875,7.14285,7.85714,7.85714,6.875,6.875,6.91358,6.8944,6.96969
ember-store-events,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-store-helpers,2.5,3.125,3.57142,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-strap,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-stream,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-street-view,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-strict-resolver,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-strict-warnings,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-string-fmt,7.5,7.5,8.57142,8.57142,7.14285,7.5,7.5,7.53086,7.51552,7.57575
ember-string-helpers,3.75,3.75,4.28571,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.72727
ember-string-ishtmlsafe-polyfill,6.25,6.875,7.14285,7.85714,7.85714,6.875,6.25,6.29629,6.27329,6.36363
ember-stringify,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-strip-test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
ember-stripe-elements,6.25,6.875,7.14285,7.85714,7.85714,6.875,6.875,6.91358,6.8944,6.72727
ember-stripe-service,7.5,8.5,9.0,9.0,9.0,7.875,7.875,7.90123,7.88819,7.93939
ember-strong-attrs,5.0,5.0,5.0,5.0,5.0,5.625,5.0,4.93827,4.96894,4.84848
ember-style-bindings,3.75,4.375,5.0,5.71428,5.71428,5.0,5.0,5.06172,5.03105,4.90909
ember-style-modifier,6.25,6.25,7.14285,7.14285,7.14285,6.25,6.25,6.17283,6.21118,6.0606
ember-styled-components,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-styleguide,6.25,7.25,8.28571,8.28571,8.28571,8.5,8.5,8.51851,8.50931,8.54545
ember-stylish-buttons,5.0,5.625,6.42857,7.14285,5.71428,5.0,5.0,5.06172,5.03105,5.15151
ember-suave,6.25,6.25,6.42857,6.42857,6.42857,6.875,6.875,6.91358,6.8944,6.96969
ember-subarray-proxy,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-sublime,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-submit-button,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-subscription,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-sugar-date-shim,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.7037,3.7267,3.87878
ember-summernote-lite,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-superstatic,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
ember-svg-donut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
ember-svg-jar,8.75,9.75,9.71428,9.71428,9.71428,8.5,8.5,8.51851,8.50931,8.54545
ember-svg-link-to,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-svg-pie,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-svg-shapes,3.75,4.375,5.0,5.71428,5.71428,5.0,5.0,5.06172,5.03105,5.15151
ember-svg-sprite-sheet,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-swagger-ui,5.0,6.0,6.85714,8.0,8.0,7.0,6.375,6.41975,6.39751,6.48484
ember-sweetalert,2.5,2.5,2.85714,2.85714,2.85714,2.5,1.875,1.9753,1.92546,1.87878
ember-swipe,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.21212
ember-syfl-blueprints,2.5,3.5,4.0,5.14285,5.14285,4.5,3.875,3.95061,3.91304,4.0606
ember-symbol-observable,7.5,7.25,8.28571,8.28571,8.28571,8.5,7.875,7.90123,7.88819,7.93939
ember-sync,6.25,6.25,6.42857,6.42857,6.42857,5.625,5.0,5.06172,5.03105,4.90909
ember-syncano,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-tabbable,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-tabella,7.5,7.5,8.57142,8.57142,7.14285,6.25,6.25,6.29629,6.27329,6.36363
ember-table,10.0,9.375,9.28571,9.28571,9.28571,9.375,9.375,9.38271,9.37888,9.39393
ember-table-data,5.0,6.0,6.85714,8.0,8.0,7.0,6.375,6.41975,6.39751,6.24242
ember-table-it,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-tabler,1.25,2.25,2.57142,3.71428,3.71428,3.25,3.25,3.33333,3.29192,3.21212
ember-tachyons,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.21212
ember-tachyons-sweeper,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.21212
ember-tag-input,5.0,6.0,6.85714,8.0,8.0,7.0,6.375,6.41975,6.39751,6.48484
ember-tag-picker,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.45454
ember-tag-search-input,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-taggify,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-tags-input,5.0,5.625,6.42857,7.14285,5.71428,5.0,5.0,5.06172,5.03105,4.90909
ember-tardy-params,1.25,1.875,2.14285,2.14285,2.14285,1.875,1.875,1.85185,1.86335,1.81818
ember-task-button,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-task-scheduler,7.5,7.5,8.57142,8.57142,8.57142,7.5,7.5,7.53086,7.51552,7.57575
ember-ted-docs,1.25,1.25,1.42857,1.42857,1.42857,2.5,2.5,2.46913,2.48447,2.66666
ember-ted-gear,2.5,2.5,2.85714,2.85714,2.85714,3.75,3.75,3.7037,3.7267,3.63636
ember-ted-select,3.75,3.75,4.28571,4.28571,4.28571,5.0,5.0,5.06172,5.03105,5.15151
ember-ted-session,1.25,1.25,1.42857,1.42857,1.42857,2.5,2.5,2.59259,2.54658,2.72727
ember-template-input,1.25,1.25,1.42857,2.14285,2.14285,1.875,1.875,1.9753,1.92546,1.87878
ember-template-module-name-remover,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
ember-test-assets,5.0,5.625,6.42857,7.14285,5.71428,5.0,5.0,5.06172,5.03105,5.15151
ember-test-component,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-test-container,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-test-free-g,1.25,1.875,2.14285,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-test-friendly-catch-handler,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.72727
ember-test-friendly-error-handler,2.5,3.125,3.57142,3.57142,3.57142,3.125,3.125,3.20987,3.1677,3.33333
ember-test-helpers,8.75,8.75,8.57142,8.57142,8.57142,8.75,8.75,8.76543,8.75776,8.54545
ember-test-selectors,8.75,10.0,10.0,10.0,10.0,8.75,8.75,8.76543,8.75776,8.78787
ember-test-selectors-helpers,6.25,6.25,6.42857,6.42857,6.42857,5.625,5.625,5.55555,5.59006,5.45454
ember-test-setup,6.25,6.875,7.85714,7.85714,6.42857,5.625,5.625,5.67901,5.65217,5.75757
ember-test-utils,7.5,7.5,8.57142,8.57142,8.57142,7.5,7.5,7.53086,7.51552,7.57575
ember-test-with-data,3.75,3.75,4.28571,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.72727
ember-tether,8.75,9.375,9.28571,9.28571,9.28571,9.375,9.375,9.38271,9.37888,9.39393
ember-tetris,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-text-clipper,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-text-highlight,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-text-limit,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-text-mask,7.5,8.125,7.85714,8.57142,8.57142,8.75,8.75,8.76543,8.75776,8.78787
ember-text-mask-addons,3.75,4.375,5.0,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-text-measurer,6.25,6.875,7.14285,7.85714,6.42857,5.625,5.625,5.67901,5.65217,5.51515
ember-text-overflow,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-text-placeholder,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-text-resize,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-text-spinners,5.0,5.0,5.0,5.0,5.0,4.375,4.375,4.44444,4.40993,4.30303
ember-text-test-helper,5.0,6.0,6.85714,8.0,6.57142,5.75,5.75,5.80246,5.77639,5.87878
ember-theme-changer,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-theme-changerr,2.5,3.125,3.57142,4.28571,4.28571,5.0,5.0,5.06172,5.03105,4.90909
ember-themed-syntax,5.0,5.0,5.71428,5.71428,4.28571,5.0,5.0,5.06172,5.03105,4.90909
ember-three,3.75,4.375,5.0,6.14285,6.14285,5.375,5.375,5.43209,5.40372,5.51515
ember-tick-tock,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-ticketfly-accordion,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-ticketfly-buttons,3.75,3.75,4.28571,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-time-ago,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.51515
ember-time-enabled-pikaday,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-time-field,2.5,3.125,3.57142,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-time-input,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.24223,1.24223,1.21212
ember-time-machine,6.25,6.25,6.42857,6.42857,5.0,4.375,4.375,4.44444,4.40993,4.30303
ember-time-tools,2.5,3.125,3.57142,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-timed-promise,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-timemachine,3.75,3.75,4.28571,4.28571,2.85714,2.5,2.5,2.46913,2.48447,2.42424
ember-timepicker,2.5,3.125,3.57142,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-timetree,5.0,5.0,5.0,5.0,5.0,4.375,4.375,4.44444,4.40993,4.54545
ember-timezone-input,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-timezone-js,1.25,1.875,2.14285,2.14285,2.14285,1.875,1.875,1.9753,1.92546,1.87878
ember-tinycon,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-to-string,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-toastr,6.25,6.875,7.14285,7.85714,7.85714,6.875,6.875,6.91358,6.8944,6.96969
ember-toggle,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
ember-toggle-form-lock,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.23456,1.24223,1.21212
ember-toggle-helper,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-toggle-spark,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-token-auth,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-toolbars,2.5,3.125,3.57142,4.28571,4.28571,3.75,3.125,3.20987,3.1677,3.0909
ember-tooltips,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
ember-tour,3.75,3.75,3.57142,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-trace,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-track-analytics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
ember-tracker,5.0,5.0,5.71428,6.42857,6.42857,5.625,5.625,5.67901,5.65217,5.51515
ember-transformicons,7.5,7.5,8.57142,8.57142,8.57142,7.5,6.875,6.91358,6.8944,6.96969
ember-transition-helper,5.0,5.0,5.71428,5.71428,5.71428,5.0,5.0,4.93827,4.96894,5.0909
ember-travis-status,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-tri-state,5.0,5.0,5.71428,6.42857,5.0,4.375,4.375,4.44444,4.40993,4.54545
ember-tribute,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-trix,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-trix-editor,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-truncate,8.75,8.75,9.28571,9.28571,9.28571,8.125,8.125,8.14814,8.13664,8.18181
ember-truncate-text,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.24223,1.24223,1.45454
ember-truth-helpers,7.5,8.125,7.85714,9.0,9.0,9.125,9.125,9.1358,9.13043,9.15151
ember-try,8.75,9.75,9.71428,9.71428,9.71428,9.75,9.75,9.75308,9.75155,9.75757
ember-tui-editor,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-tumblr,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-turbolinks,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-tutorial-component,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-tweenlite,3.75,3.75,4.28571,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-twitch-normalizer,2.5,3.5,4.0,5.14285,3.71428,3.25,3.25,3.20987,3.22981,3.15151
ember-twitter-entities,6.25,6.25,7.14285,7.14285,5.71428,5.0,5.0,5.06172,5.03105,5.15151
ember-typeahead,3.75,3.75,4.28571,4.28571,2.85714,2.5,2.5,2.46913,2.48447,2.42424
ember-typeahead-input,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345,0.06211,0.0606
ember-typed,3.75,3.75,4.28571,4.28571,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-typeface,5.0,5.0,5.71428,5.71428,5.71428,5.0,4.375,4.44444,4.40993,4.54545
ember-types,2.5,3.125,3.57142,4.28571,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-typescript-utils,2.5,3.5,4.0,5.14285,5.14285,4.5,4.5,4.5679,4.53416,4.42424
ember-typescript2,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-typewriter,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-typography,3.75,4.75,5.42857,6.57142,5.14285,4.5,4.5,4.5679,4.53416,4.66666
ember-ufo-loading,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.46913,2.48447,2.42424
ember-ui-blocker,2.5,2.5,2.85714,3.57142,2.14285,1.875,1.875,1.85185,1.86335,1.81818
ember-ui-components,3.75,4.375,5.0,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.93939
ember-ui-pagination,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-ui-sortable,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-uikit,7.5,7.5,8.57142,8.57142,8.57142,8.75,8.125,8.14814,8.13664,7.93939
ember-unauthorized,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
