Addon,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10
ember-indexeddb,3.75,4.75,5.42857,6.57142,6.57142,5.75,5.75,5.80246,5.77639,5.87878
ember-indexeddb-adapter,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-inert-polyfill,1.25,1.25,1.42857,1.42857,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-infinite-scroll,2.5,2.5,2.85714,2.85714,1.42857,1.25,1.25,1.35802,1.30434,1.27272
ember-infinity,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
ember-inflector,7.5,8.125,7.85714,8.57142,8.57142,8.75,8.75,8.76543,8.75776,8.78787
ember-initials,6.25,6.875,7.14285,7.85714,7.85714,6.875,6.25,6.29629,6.27329,6.36363
ember-inject-optional,2.5,2.5,2.85714,2.85714,2.85714,2.5,2.5,2.59259,2.54658,2.48484
ember-inject-script,5.0,5.0,5.0,5.0,3.57142,3.125,3.125,3.20987,3.1677,3.0909
ember-inject-scripts,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-inline-component,1.25,1.25,1.42857,2.14285,2.14285,1.875,1.875,1.9753,1.92546,1.87878
ember-inline-component-strings,5.0,5.0,5.71428,5.71428,4.28571,3.75,3.75,3.82716,3.78881,3.69696
ember-inline-css,3.75,3.75,4.28571,4.28571,4.28571,5.0,5.0,5.06172,5.03105,4.90909
ember-inline-edit,5.0,6.0,6.85714,8.0,8.0,7.0,7.0,7.03703,7.01863,7.0909
